Аэродромный;Аэр/о/дро́м/н/ый.
Сванка;Сва́н/к/а.

Сванский;Сва́н/ск/ий.

Сибаритствовать;Сибари́т/ств/ова/ть.

Сибиреязвенный;Сибир/е/я́зв/енн/ый.

Сибирка;Сиби́р/к/а.

Сибирный;Сиби́р/н/ый.

Сибирский;Сиби́р/ск/ий.

Сибиряк;Сибир/я́к/.

Сибирячка;Сибир/я́ч/к/а.

Сивер;Си́вер/.

Сиверкий;Си́вер/к/ий.

Сиверко;Си́вер/к/о, м.

Сиветь;Сив/е́/ть.

Сивка;Си́в/к/а, м. и ж. (лошадь) и ж. (птица).

Сивко;Си́в/к/о и сив/к/о́, м.

Сивобородый;Сив/о/боро́д/ый.

Сивогривый;Сив/о/гри́в/ый.

Сиводушка;Сив/о/ду́шк/а.

Сиводушчатый;Сив/о/ду́шч/ат/ый.

Сиволап;Сивола́п/.

Сиволапый;Сивола́п/ый.

Сиворонка;Си/воро́н/к/а [си(во)/воро́н/к/а].

Сивоусый;Сив/о/у́с/ый.

Сивуха;Сиву́х/а.

Сивуч;Сиву́ч/.

Сивучий;Сиву́ч/ий/.

Сивучонок;Сивуч/о́нок/.

Сивушный;Сиву́ш/н/ый.

Сивый;Си́в/ый.

Сиг;Сиг/.

Сон;Сон/.

Сонаниматель;Со/наним/а́/тель/.

Сонант;Сон/а́нт/.

Сонаследник;Со/насле́д/ник/.

Сонаследница;Со/насле́д/ниц/а.

Сонаследовать;Со/насле́д/ова/ть.

Соната;Сона́т/а.

Сонатина;Сонат/и́н/а.

Сонатный;Сона́т/н/ый.

Сонет;Соне́т/.

Сонетка;Соне́тк/а (звонок).

Сонетный;Соне́т/н/ый.

Сонливец;Сон/ли́в/ец/.

Сонливица;Сон/ли́в/иц/а.

Сонливость;Сон/ли́в/ость/.

Сонливый;Сон/ли́в/ый.

Сонм;Сонм/.

Сонмище;Со́нм/ищ/е.

Сонник;Со́н/ник/.

Сонный;Со́н/н/ый.

Сонорный;Сон/о́рн/ый.

Сонь;Сонь/.

Соня;Со́н/я, м. и ж.

Соображать;Соображ/а́/ть.

Соображение;Соображ/е́ни/е [й/э].

Соображённый;Соображ/ённ/ый.

Сообразительность;Сообраз/и́/тельн/ость/.

Сообразительный;Сообраз/и́/тельн/ый.

Сочный;Со́ч/н/ый.

Сочтённый;Со/чт/ённ/ый.

Сочувственный;Сочу́вств/енн/ый.

Сочувствие;Сочу́вств/и/е [й/э].

Сочувствовать;Сочу́вств/ова/ть.

Сочувствующий;Сочу́вств/у/ющ/ий.

Сошествие;Со/ше́/ств/и/е [й/э].

Сошка;Со́ш/к/а.

Сошник;Сош/ни́к/.

Сошниковый;Сош/ник/о́в/ый.

Сошный;Со́ш/н/ый.

Сощипанный;Со/щи́п/а/нн/ый.

Сощипать;Со/щип/а́/ть, со/щи́пл/ет и со/щи́п/ет; также со/щип/а́/ет.

Сощипнутый;Со/щи́п/ну/т/ый.

Сощипнуть;Со/щип/ну́/ть.

Сощуренный;Со/щу́р/енн/ый.

Союженный;Сою́ж/енн/ый.

Союз;Сою́з/.

Союзить;Сою́з/и/ть.

Союзка;Сою́з/к/а.

Союзник;Сою́з/ник/.

Союзница;Сою́з/ниц/а.

Союзнический;Сою́з/нич/еск/ий.

Союзничество;Сою́з/нич/еств/о.

Союзный;Сою́з/н/ый.

Синкопа;Синко́п/а.

Синкопированный;Синкоп/и́р/ова/нн/ый.

Синкопический;Синкоп/и́ческ/ий.

Синкретизм;Синкрет/и́зм/.

Синкретический;Синкрет/и́ческ/ий.

Синод;Сино́д/.

Синодальный;Синод/а́льн/ый.

Синодик;Сино́д/ик/.

Синодский;Сино́д/ск/ий.

Синолог;Син/о́/лог/.

Синологический;Син/о/лог/и́ческ/ий.

Синология;Син/о/ло́г/и/я [й/а].

Синоним;Син/о́ним/ [ср.: ант/о́ним/, ом/о́ним/].

Синонимика;Син/они́м/ик/а.

Синонимический;Син/оним/и́ческ/ий.

Синонимичный;Син/оним/и́чн/ый.

Синонимия;Син/оним/и́/я [й/а].

Синопсис;Сино́псис/.

Синоптик;Сино́пт/ик/.

Синоптика;Сино́пт/ик/а.

Синоптический;Синопт/и́ч/еск/ий.

Синтагма;Синта́гм/а.

Синтагматика;Синтагм/а́т/ик/а.

Синтагматический;Синтагм/ат/и́ч/еск/ий.

Синтаксис;Си́нтакс/ис/.

Синтаксист;Синтакс/и́ст/.

Синтаксический;Синтакс/и́ческ/ий.

Синтактика;Синта́кт/ик/а.

Синтез;Си́нтез/.

Советчик;Сове́т/чик/.

Советчица;Сове́т/чиц/а.

Советь;Сов/е́/ть.

Совещание;Совещ/а́/ни/е [й/э].

Совещательный;Совещ/а́/тельн/ый.

Совещаться;Совещ/а́/ть/ся.

Совиновность;Со/вин/о́вн/ость/.

Совиновный;Со/вин/о́вн/ый.

Совинформбюро;Сов/информ/бюро́, нескл., с.

Совиный;Сов/и́н/ый.

Совка;Со́в/к/а.

Совковый;Совк/о́в/ый.

Совладать;Со/влад/а́/ть.

Совладелец;Со/влад/е́/л/ец/.

Совладелица;Со/влад/е́/л/иц/а.

Совладение;Со/влад/е́/ни/е [й/э].

Совладеть;Со/влад/е́/ть.

Совладычество;Со/влад/ы́ч/еств/о.

Совлечение;Со/влеч/е́ни/е [й/э].

Совлечённый;Со/влеч/ённ/ый.

Совместимость;Совмест/и́м/ость/.

Совместимый;Совмест/и́м/ый.

Совместитель;Совмест/и́/тель/.

Совместительница;Совмест/и́/тель/ниц/а.

Совместительский;Совмест/и́/тель/ск/ий.

Совместительство;Совмест/и́/тель/ств/о.

Севок;Се/в/о́к/.

Севооборот;Се/в/о/оборо́т/.

Севосмен;Се/в/о/с/ме́н/.

Севрюга;Севрю́г/а.

Севрюжий;Севрю́ж/ий/.

Севрюжина;Севрю́ж/ин/а.

Севрюжка;Севрю́ж/к/а.

Сегмент;Сегме́нт/.

Сегментарный;Сегмент/а́рн/ый.

Сегментационный;Сегмент/аци/о́нн/ый.

Сегментация;Сегмент/а́ци/я [й/а].

Сегментный;Сегме́нт/н/ый.

Сегментоукладчик;Сегмент/о/у/кла́д/чик/.

Сегнетоконденсатор;Сегнет/о/конденс/а́тор/.

Сегнетоэлектрик;Сегнет/о/эле́ктр/ик/.

Сегнетоэлектрический;Сегнет/о/электр/и́ческ/ий.

Сегнетоэлектричество;Сегнет/о/электр/и́ч/еств/о.

Сегодня;Сего́дня.

Сегодняшний;Сего́дня/шн/ий.

Сегрегационный;Сегрег/аци/о́нн/ый.

Сегрегация;Сегрег/а́ци/я [й/а].

Седалище;Седа́лищ/е.

Седалищный;Седа́лищ/н/ый.

Седельник;Седе́ль/ник/.

Седельный;Седе́ль/н/ый.

Седельце;Седе́ль/ц/е.

Седельчатый 1;Седе́ль/чат/ый¹ (от седл/о́).

Седёлка;Седёл/к/а.

Седёлковый;Седёл/к/ов/ый.

Седёлочный;Седёл/оч/н/ый.

Сделочный;С/де́л/оч/н/ый.

Сдельный;С/де́ль/н/ый.

Сдельщик;С/де́ль/щик/.

Сдельщина;С/де́ль/щин/а.

Сдельщица;С/де́ль/щиц/а.

Сдержанность;С/де́рж/а/нн/ость/.

Сдержанный;С/де́рж/а/нн/ый.

Сдирание;С/дир/а́/ни/е [й/э].

Сдирка;С/ди́р/к/а.

Сдирочный;С/ди́р/оч/н/ый.

Сдоба;Сдо́б/а.

Сдобить;Сдо́б/и/ть.

Сдобный;Сдо́б/н/ый.

Сдобренный;Сдо́бр/енн/ый.

Сдобрить;Сдо́бр/и/ть.

Сдоенный;С/до́/енн/ый.

Сдоить;С/до/и́/ть.

Сдойный;С/до́й/н/ый.

Сдохнуть;С/до́х/ну/ть.

Сдохший;С/до́х/ш/ий.

Сдёргать;С/дёрг/а/ть.

Сдёрнутый;С/дёр/ну/т/ый.

Сдёрнуть;С/дёр/ну/ть.

Самшит;Самши́т/.

Самшитовый;Самши́т/ов/ый.

Самый;Са́м/ый.

Сан;Сан/.

Санаторий;Санато́рий/.

Санаторный;Санато́р/н/ый.

Санаторский;Санато́р/ск/ий.

Санация;Сан/а́ци/я [й/а].

Санбат;Сан/ба́т/.

Сангвин;Сангви́н/ и сангви́н/а.

Сангвиник;Сангви́ник/.

Сангвинический;Сангвини́ч/еск/ий.

Сандал;Санда́л/.

Сандалеты;Сандал/е́т/ы, ед. сандал/е́т/а.

Сандалии;Санда́ли/и, ед. санда́ли/я [й/а].

Сандаловый;Санда́л/ов/ый и санта́л/ов/ый.

Сандальный;Санда́ль/н/ый (от санда́ли/и).

Сандарак;Сандара́к/.

Сандараковый;Сандара́к/ов/ый.

Сандвич;Са́ндвич/.

Сандружина;Сан/дружи́н/а.

Сандружинница;Сан/дружи́н/ниц/а.

Сандхи;Са́ндхи, нескл., с.

Сани;Са́н/и.

Санинспектор;Сан/инспе́кт/ор/.

Скоростник;Скор/ост/ни́к/.

Скоростной;Скор/ост/н/о́й.

Скорострелка;Скор/о/стре́л/к/а.

Скорострельность;Скор/о/стре́ль/н/ость/.

Скорострельный;Скор/о/стре́ль/н/ый.

Скорость;Ско́р/ость/.

Скоросшиватель;Скор/о/с/ши/ва́/тель/.

Скоротать;С/корот/а́/ть.

Скоротельный;Скор/о/те́ль/н/ый.

Скоротечный;Скор/о/те́ч/н/ый.

Скороход;Скор/о/хо́д/.

Скороходный;Скор/о/хо́д/н/ый.

Скороходь;Ско́р/о/ходь/.

Скорочтение;Скор/о/чт/е́ни/е [й/э].

Скорпион;Скорпио́н/.

Скорректировать;С/коррект/и́р/ова/ть.

Скорченный;С/ко́рч/енн/ый.

Скорый;Ско́р/ый.

Скос;С/кос/.

Скосить 1;С/кос/и́/ть¹ (сре́зать).

Скособочиться;С/кос/о/бо́ч/и/ть/ся.

Скосок;С/ко́с/ок/.

Скостить;Скост/и́/ть.

Скот;Скот/.

Скотий;Ско́т/ий/.

Скотина;Скот/и́н/а.

Скотиний;Скот/и́н/ий/.

Скотинка;Скот/и́н/к/а.

Спектрометрия;Спектр/о/ме́тр/и́/я [й/а].

Спектросенситограмма;Спектр/о/сенсит/о/гра́мм/а.

Спектросенситометр;Спектр/о/сенсит/о́/метр/.

Спектросенситометрия;Спектр/о/сенсит/о/ме́тр/и/я [й/а].

Спектроскоп;Спектр/о/ско́п/.

Спектроскопический;Спектр/о/скоп/и́ческ/ий.

Спектроскопия;Спектр/о/скоп/и́/я [й/а].

Спектрофотометр;Спектр/о/фото́/метр/.

Спектрофотометрический;Спектр/о/фото/метр/и́ческ/ий.

Спектрофотометрия;Спектр/о/фото/ме́тр/и́/я [й/а].

Спекулирование;Спекул/и́р/ова/ни/е [й/э].

Спекулировать;Спекул/и́р/ова/ть.

Спекульнуть;Спекуль/ну́/ть.

Спекулянт;Спекул/я́нт/.

Спекулянтка;Спекул/я́нт/к/а.

Спекулянтский;Спекул/я́нт/ск/ий.

Спекулятивный;Спекул/ят/и́вн/ый.

Спекуляция;Спекул/я́ци/я [й/а].

Спеленать;С/пелен/а́/ть.

Спелеолог;Спеле/о́/лог/.

Спелеологический;Спеле/о/лог/и́ческ/ий.

Спелеология;Спеле/о/ло́г/и/я [й/а].

Спелеофауна;Спеле/о/фа́ун/а.

Спелость;Спе́/л/ость/.

Спелый;Спе́/л/ый.

Спелёнатый;С/пелён/а/т/ый и с/пелё/ну/т/ый [с/пелё(н)/ну/т/ый].

Сперва;С/перв/а́.

Спервоначала;С/перв/о/нача́/л/а и с/перв/о/нача́/л/у.

Спереди;С/пе́ред/и.

Смолкший;С/мо́лк/ш/ий.

Смоловар;Смол/о/ва́р/.

Смоловаренный;Смол/о/ва́р/енн/ый.

Смоловарня;Смол/о/ва́р/н/я.

Смологон;Смол/о/го́н/.
